,StoreId,CompleteStoreName,FoodType,AverageRating,Reviewers,City,Location,District,Latitude,Longitude
109,deid,"Soul Of India @ North Indian, Middle Eastern Restaurant - Restaurant Delivery",Indian,2.5,91,Singapore,,,46.3144754,11.0480288
110,jzxo,Nazeer Bhai Indian Muslim Food (73 Toa Payoh Lorong 4),Indian,4.1,100,Singapore,73 Toa Payoh Lorong 4 Singapore,12.0,1.3340008,103.8512588
111,rznf,Pot Yummy Yummy Lei Cha Pao Fan(Velocity@Novena Square),Asian,3.9,51,Singapore,Velocity@Novena Square Singapore,11.0,1.3197981,103.84404339860015
112,xznz,Mint Leaf of Mumbai @United Square - Restaurant Delivery,Indian,2.9,71,Singapore,,,46.3144754,11.0480288
113,us3u,Soup Dayz (United Square),Soups,4.5,100,Singapore,United Square Singapore,,1.3172579500000001,103.8436008937355
114,o43y,Smoked Burgers By Dreamshop (Stevens Road),American,2.9,47,Singapore,Stevens Road Singapore,,1.31991405,103.82616810871971
115,pur9,The London Curry House (159 Thomson Rd) - Restaurant Delivery,Indian,2.7,77,Singapore,159 Thomson Rd Singapore,11.0,1.3180512000000002,103.8436872
116,q5o8,Royal Biryani (159 Thomson Rd)- Restaurant Delivery,Indian,3.3,69,Singapore,159 Thomson Rd Singapore,11.0,1.3180512000000002,103.8436872
117,eyyy,Pot Yummy Yummy Fish Soup Ban Mian(Velocity@Novena Square),Asian,4.3,9,Singapore,Velocity@Novena Square Singapore,11.0,1.3197981,103.84404339860015
118,hmpv,FLAME N GRILL @ THOMSON ROAD/LEBANESE & INDIAN RESTAURANT - Restaurant Delivery,Indian,2.0,54,Singapore,,,46.3144754,11.0480288
119,ezsn,Menya Aoi (United Square),Japanese,4.7,14,Singapore,United Square Singapore,,1.3172579500000001,103.8436008937355
120,zjuk,The Royal Afghan curry & Biryani Hub@Newton Road - Restaurant Delivery,Indian,2.4,46,Singapore,,,46.3144754,11.0480288
121,g9to,4 EYES GUYS KITCHEN (UPPER THOMSON),Chinese,4.2,66,Singapore,UPPER THOMSON Singapore,11.0,1.35463855,103.83251239866786
122,obo1,Jai Thai Restaurant (Clover Way),Seafood,4.7,72,Singapore,Clover Way Singapore,,1.349519985106274,103.84358319764942
123,w3sv,Xiang Dessert & Food 饗好吃 (Upper Thomson Road),Chinese,4.5,1000,Singapore,Upper Thomson Road Singapore,11.0,1.3980525521561984,103.81795642248994
124,s3uq,Balestier Bak Kut Teh (Balestier Road),Bak Kut Teh,4.6,3000,Singapore,Balestier Road Singapore,12.0,1.3181005488832067,103.85551719932096
125,scg5,Ee Han Kuey Tiao Kai (Balestier Road),Singaporean,4.5,100,Singapore,Balestier Road Singapore,12.0,1.3181005488832067,103.85551719932096
126,gh9u,Parivar - Vegetarian and Non Vegetarian Indian (Toa Payoh North),Indian,3.7,16,Singapore,Toa Payoh North Singapore,12.0,1.3416548000000001,103.8464593736629
127,s5be,TWB Pizza and Bar (Upper Thomson),Pizza,4.4,100,Singapore,Upper Thomson Singapore,11.0,1.35463855,103.83251239866786
128,dxep,Wicked Wings (Bishan),Fried Chicken,2.9,40,Singapore,Bishan Singapore,20.0,1.3519117,103.8489708
129,xkri,Vietnam Kitchen (Bishan),Vietnamese,4.9,7,Singapore,Bishan Singapore,20.0,1.3519117,103.8489708
130,ymby,Biang Biang Noodles Xi An Famous Food (Shaw Plaza),Chinese,2.9,5,Singapore,Shaw Plaza Singapore,,1.32495655,103.85112396305036
131,im05,sibarita (9 Sin Ming Rd),Mexican,4.7,2,Singapore,9 Sin Ming Rd Singapore,,1.3532399499999999,103.83550650966735
132,hki1,Enjoy Eating House and Bar (Stevens),Seafood,4.7,89,Singapore,Stevens Singapore,,1.31991405,103.82616810871971
133,h8ok,WAH & STEVEN'S CORNER (UPPER THOMSON),Dim Sum ,4.0,17,Singapore,UPPER THOMSON Singapore,11.0,1.35463855,103.83251239866786
134,z08g,Ontama Don (Shaw Plaza),Japanese,4.5,20,Singapore,Shaw Plaza Singapore,,1.32495655,103.85112396305036
135,l9kj,Huolala Mala Specialist 火辣辣麻辣专家 (Upper Thomson),Mala Xiang Guo,4.3,500,Singapore,Upper Thomson Singapore,11.0,1.35463855,103.83251239866786
136,pyfp,TwoBakeBoys (Shaw Plaza) - Islandwide Delivery,Dessert,5.0,5,Singapore,Shaw Plaza Singapore,,1.32495655,103.85112396305036
137,bzpa,Hyderabad Authentic North Indian Restaurant (Toa Payoh),Indian,4.0,80,Singapore,Toa Payoh Singapore,12.0,1.3353906,103.8497414
138,p39t,Dongbei Mala Tang 东北麻辣烫 (Balestier),Asian,4.0,1,Singapore,Balestier Singapore,12.0,1.326226,103.8473149
139,x0kk,Loy Kee Best Chicken Rice (Balestier),Chicken Rice,4.4,500,Singapore,Balestier Singapore,12.0,1.326226,103.8473149
140,v0ye,Daawat Tandoori Restaurant (Yew Lain Park),Indian,4.3,1000,Singapore,Yew Lain Park Singapore,,,
141,wiar,Chong Qing Grilled Fish (Upper Thomson) - Islandwide Delivery,Chinese,4.6,28,Singapore,Upper Thomson Singapore,11.0,1.35463855,103.83251239866786
142,xjsp,Hyderabad Bawarchi North Indian Cuisine (Toa Payoh North),Indian,4.6,29,Singapore,Toa Payoh North Singapore,12.0,1.3416548000000001,103.8464593736629
143,xmyg,Al-Julekha North Indian Cuisine (Toa Payoh North),Indian,3.6,95,Singapore,Toa Payoh North Singapore,12.0,1.3416548000000001,103.8464593736629
